scenarioId	operationId	method	path	status	cause	feature	scenario
REF07_ClearClientFavorites_02	ClearClientFavorites	DELETE	/favorites/clients/{clientId:guid}	400	Clear favorites with an empty client identifier	Favorites/FavoritesEndpoints.feature	Clear favorites with an empty client identifier
REF07_GetFlowDocumentation_01	GetFlowDocumentation	GET	/users-documentation/flows	200	registered descriptors	Documentation/DocumentationEndpoints.feature	Get all flow descriptors
REF07_GetValidationDocumentation_01	GetValidationDocumentation	GET	/users-documentation/validations	200	registered descriptors	Documentation/DocumentationEndpoints.feature	Get all validation descriptors
REF07_GetCustomerByExternalId_04	GetCustomerByExternalId	GET	/customers/external/{externalId}	500	customer dependency failure	Common/UnexpectedServerErrors.feature	Endpoint returns a safe 500 response when its dependency fails
REF07_GetAdminByExternalId_04	GetAdminByExternalId	GET	/admins/external/{externalId}	500	admin dependency failure	Common/UnexpectedServerErrors.feature	Endpoint returns a safe 500 response when its dependency fails
REF07_GetFavoritesByClientId_03	GetFavoritesByClientId	GET	/favorites/clients/{clientId:guid}	500	favorites dependency failure	Common/UnexpectedServerErrors.feature	Endpoint returns a safe 500 response when its dependency fails
REF07_AddProductToFavorites_05	AddProductToFavorites	POST	/favorites/clients/{clientId:guid}	500	favorite-add dependency failure	Common/UnexpectedServerErrors.feature	Endpoint returns a safe 500 response when its dependency fails
REF07_RemoveProductFromFavorites_04	RemoveProductFromFavorites	DELETE	/favorites/clients/{clientId:guid}/products/{productId:guid}	500	favorite-remove dependency failure	Common/UnexpectedServerErrors.feature	Endpoint returns a safe 500 response when its dependency fails
REF07_ClearClientFavorites_03	ClearClientFavorites	DELETE	/favorites/clients/{clientId:guid}	500	favorite-clear dependency failure	Common/UnexpectedServerErrors.feature	Endpoint returns a safe 500 response when its dependency fails
REF07_GetFlowDocumentation_02	GetFlowDocumentation	GET	/users-documentation/flows	500	documentation-flows dependency failure	Common/UnexpectedServerErrors.feature	Endpoint returns a safe 500 response when its dependency fails
REF07_GetValidationDocumentation_02	GetValidationDocumentation	GET	/users-documentation/validations	500	documentation-validations dependency failure	Common/UnexpectedServerErrors.feature	Endpoint returns a safe 500 response when its dependency fails
REF07_CreateCustomer_06	CreateCustomer	POST	/customers	500	repository write failure; no current/history change	Common/WriteFailures.feature	<operationId> reports a safe 500 without changing stored data
REF07_UpdateIndividualData_05	UpdateIndividualData	PUT	/customers/{id:guid}/individual	500	repository write failure; no current/history change	Common/WriteFailures.feature	<operationId> reports a safe 500 without changing stored data
REF07_AddCompany_06	AddCompany	POST	/customers/{customerId:guid}/companies	500	repository write failure; no current/history change	Common/WriteFailures.feature	<operationId> reports a safe 500 without changing stored data
REF07_UpdateCompany_06	UpdateCompany	PUT	/customers/{customerId:guid}/companies/{companyId:guid}	500	repository write failure; no current/history change	Common/WriteFailures.feature	<operationId> reports a safe 500 without changing stored data
REF07_CreateAdmin_05	CreateAdmin	POST	/admins	500	repository write failure; no current/history change	Common/WriteFailures.feature	<operationId> reports a safe 500 without changing stored data
REF07_UpdateAdminProfile_05	UpdateAdminProfile	PUT	/admins/{adminId:guid}	500	repository write failure; no current/history change	Common/WriteFailures.feature	<operationId> reports a safe 500 without changing stored data
REF07_AddProductToFavorites_type	AddProductToFavorites	POST	/favorites/clients/{clientId:guid}	400	type	Common/ApiProblemContract.feature	Framework failures have the same JSON problem contract
REF07_AddProductToFavorites_null	AddProductToFavorites	POST	/favorites/clients/{clientId:guid}	400	null	Common/ApiProblemContract.feature	Framework failures have the same JSON problem contract
REF07_AddProductToFavorites_missing	AddProductToFavorites	POST	/favorites/clients/{clientId:guid}	400	missing	Common/ApiProblemContract.feature	Framework failures have the same JSON problem contract
REF07_ClearClientFavorites_noop	ClearClientFavorites	DELETE	/favorites/clients/{clientId:guid}	204	empty favorites; successful no-op	Favorites/FavoritesEndpoints.feature	Clear favorites for a client with no products is a successful no-op
REF08_CustomerUpdate_409_ConcurrentChange	UpdateIndividualData	PUT	/customers/{id:guid}/individual	409	concurrent customer change after read; no losing update/history	Customers/CustomerWriteRaces.feature	REF08_CustomerUpdate_409_ConcurrentChange
REF08_CustomerUpdate_404_DeletedAfterRead	UpdateIndividualData	PUT	/customers/{id:guid}/individual	404	customer deleted after read; no update history	Customers/CustomerWriteRaces.feature	REF08_CustomerUpdate_404_DeletedAfterRead
REF08_AdminUpdate_409_ConcurrentChange	UpdateAdminProfile	PUT	/admins/{adminId:guid}	409	concurrent admin change after read; no losing update/history	Admins/AdminWriteRaces.feature	REF08_AdminUpdate_409_ConcurrentChange
REF08_AdminUpdate_404_DeletedAfterRead	UpdateAdminProfile	PUT	/admins/{adminId:guid}	404	admin deleted after read; no update history	Admins/AdminWriteRaces.feature	REF08_AdminUpdate_404_DeletedAfterRead
REF08_AdminUpdate_200_UnchangedProfile	UpdateAdminProfile	PUT	/admins/{adminId:guid}	200	unchanged admin profile; successful no-op without history	Admins/AdminWriteRaces.feature	REF08_AdminUpdate_200_UnchangedProfile
